product_name,category,quantity_sold,unit_price,date
T-shirt,Fashion,4,200,2026-03-25
Notebook,Stationery,8,200,2026-03-31
T-shirt,Fashion,3,500,2026-05-24
Notebook,Stationery,8,200,2026-04-03
Keyboard,Electronics,6,200,2026-03-12
Jeans,Fashion,6,50,2026-05-13
Pen,Stationery,5,25,2026-05-25
Novel,Books,6,200,2026-06-07
Laptop,Electronics,3,120,2026-05-04
Monitor,Electronics,9,80,2026-04-30
T-shirt,Fashion,5,25,2026-04-18
Mouse,Electronics,4,25,2026-05-09
Water Bottle,Home,2,50,2026-03-19
Novel,Books,5,50,2026-06-02
Pen,Stationery,7,120,2026-03-18
Backpack,Fashion,3,350,2026-05-30
Monitor,Electronics,2,120,2026-03-12
Water Bottle,Home,6,350,2026-03-14
Headphones,Electronics,2,50,2026-04-23
Mouse,Electronics,4,350,2026-04-27
Backpack,Fashion,8,350,2026-06-05
Pen,Stationery,9,350,2026-04-19
Phone,Electronics,2,500,2026-05-02
Jeans,Fashion,9,120,2026-05-09
Pen,Stationery,9,200,2026-03-25
Desk Lamp,Home,1,25,2026-05-20
Sneakers,Fashion,8,25,2026-03-18
Jeans,Fashion,3,25,2026-03-18
Keyboard,Electronics,3,25,2026-03-15
Novel,Books,7,50,2026-04-20
Pen,Stationery,7,25,2026-05-21
Pen,Stationery,2,25,2026-04-27
T-shirt,Fashion,7,350,2026-06-06
Phone,Electronics,3,120,2026-06-04
Notebook,Stationery,3,25,2026-04-26
Water Bottle,Home,3,25,2026-03-15
Novel,Books,7,500,2026-03-24
T-shirt,Fashion,9,500,2026-03-25
Novel,Books,3,500,2026-05-01
Desk Lamp,Home,4,350,2026-04-02
T-shirt,Fashion,4,200,2026-04-11
T-shirt,Fashion,3,350,2026-04-07
Mouse,Electronics,9,200,2026-03-16
Pen,Stationery,4,350,2026-05-11
Notebook,Stationery,7,120,2026-06-07
T-shirt,Fashion,1,25,2026-04-06
Water Bottle,Home,9,120,2026-05-26
Sneakers,Fashion,3,500,2026-05-19
Jeans,Fashion,9,350,2026-04-16
Laptop,Electronics,3,50,2026-04-23
Jeans,Fashion,6,25,2026-05-01
Laptop,Electronics,1,50,2026-05-01
Pen,Stationery,7,50,2026-03-13
Laptop,Electronics,5,25,2026-05-05
Laptop,Electronics,1,50,2026-03-12
Pen,Stationery,6,500,2026-03-11
Keyboard,Electronics,2,200,2026-04-23
Novel,Books,6,500,2026-05-17
T-shirt,Fashion,8,80,2026-03-27
Backpack,Fashion,6,200,2026-05-19
Headphones,Electronics,1,25,2026-05-08
Headphones,Electronics,3,120,2026-05-08
Monitor,Electronics,3,50,2026-05-16
Backpack,Fashion,3,120,2026-05-20
Monitor,Electronics,9,25,2026-04-19
T-shirt,Fashion,2,25,2026-03-21
Pen,Stationery,9,25,2026-04-29
T-shirt,Fashion,3,500,2026-03-26
Novel,Books,9,120,2026-05-09
Laptop,Electronics,2,25,2026-04-27
Water Bottle,Home,5,200,2026-04-11
Notebook,Stationery,7,25,2026-03-29
Keyboard,Electronics,4,350,2026-04-12
Jeans,Fashion,4,80,2026-05-21
Monitor,Electronics,6,120,2026-06-07
Keyboard,Electronics,9,200,2026-03-28
Water Bottle,Home,2,50,2026-05-03
Keyboard,Electronics,9,120,2026-04-12
Monitor,Electronics,1,350,2026-03-31
Monitor,Electronics,8,500,2026-05-16
